Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
B,Completely Locked,06/22/2020 01:44:24 PM,B206,B206,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Avenue H bet. Kings Hwy. and E. 49 St.,Sunners Playground,POINT (1003795.114112973 169729.5959581435),Adults not allowed in some locations,B206-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
B,Partially Locked,06/22/2020 03:35:50 PM,B254,B254,,Reopened,false,Not Applicable,"Winthrop St., Brooklyn Ave., Rutland Rd.",Wingate Park,POINT (999516.0898626447 179517.1249394715),Adults not allowed in some locations,B254-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,309,B-09
M,Completely Locked,06/22/2020 11:46:20 AM,M042,M042-02,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Seaman Ave Bet Isham, W 207 St",Emerson Plgd,POINT (1005796.538915887 256115.0977274776),Adults not allowed in some locations,M042-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,112,M-12
R,Completely Locked,06/24/2020 09:07:55 AM,R038A,R038A,,Reopened,,,,Midland Field,POINT (956685.8588728253 149347.372096788),,,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,502,R-02B
M,Completely Locked,06/23/2020 09:14:46 AM,M283,M283-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"River Terr, Murray St",Nelson Rockefeller Park Playground South,POINT (979612.826847717 200105.6946546435),Unknown,M283-CPA-0002,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,101,M-01
M,Completely Locked,06/22/2020 03:14:35 PM,M395,M395,,Reopened,false,Not Applicable,La Guardia Pl. bet. W. 3 St. and Bleecker St.,Fiorello La Guardia Park,POINT (984783.6432777195 204818.2081954777),Adults not allowed in some locations,M395-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,102,M-02
M,Completely Locked,06/19/2020 10:07:19 AM,M228,M228,true,Reopened,,,,Henry M Jackson Playground,POINT (989328.4084663839 199389.6111130566),,,03/31/2020 07:11:11 PM,06/19/2020 12:00:00 AM,103,M-03
M,Completely Locked,06/22/2020 11:12:54 AM,M010,M010-176,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"96 St, W/o Fifth Ave",East 96th St Plgd,POINT (996267.2269378006 226288.2010165602),Unknown,M010-CPA-0012,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,164,M-13
X,Completely Locked,06/22/2020 10:56:46 AM,X004,X004-03,,Reopened,false,Not Applicable,"Morrison Ave, Watson Ave",Parque De Los Ninos,POINT (1019232.8991822149 240616.41678264743),Adults Allowed,X004-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,209,X-09
B,Completely Locked,06/22/2020 04:37:04 PM,B295,B295,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Flushing Ave. between N. Portland Ave. and N. Oxford St.,Oxport Playground,POINT (990767.0489618034 193506.8118550628),Adults Allowed,B295-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,302,B-02
