Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
Q,Completely Locked,06/21/2020 06:55:59 PM,Q319,Q319,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Yellowstone Blvd. bet. 64 Rd. and 65 Ave.,Annadale Playground,POINT (1025386.4551165551 205682.666768387),Adults Allowed,Q319-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:45:00 AM,406,Q-06
X,Completely Locked,06/22/2020 11:15:32 AM,X169,X169,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Barnes Ave. bet. E. 216 St. and E. 215 St.,Agnes Haywood Playground,POINT (1022544.489671886 260071.5511006415),Adults Allowed,X169-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,212,X-12
X,Completely Locked,06/04/2020 04:16:17 PM,X210,X210,,COVID-19 Closure,,,,Governor Smith Playground,POINT (1006223.381238058 237844.90985848012),,,03/31/2020 07:11:11 PM,,201,X-01
M,Completely Locked,06/22/2020 03:32:53 PM,M071,M071-34,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W 105-106 Sts, Riverside Dr",Tot Lot One Hundred Five,POINT (992296.2089612186 231371.6980673969),Unknown,M071-CPA-0009,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,107,M-14
B,Partially Locked,06/22/2020 03:35:31 PM,B054,B054-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Rochester Ave, Carroll St",Lincoln Terrace Park / Arthur S. Somers Playground,POINT (1004234.312709644 182088.8907933086),Adults Allowed,B054-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,308,B-08
Q,Partially Locked,06/21/2020 01:17:39 PM,Q300,Q300-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Colden St & Geranium Ave,Silent Springs Playground,POINT (1033328.287001893 212502.31520256403),Unknown,Q300-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 01:17:37 PM,407,Q-07
B,Not Lockable,06/22/2020 03:28:45 PM,B060,B060-01,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"74-75 Sts, Ft Hamilton Pkwy",McKinley Park Playground,POINT (979498.9845557213 167542.9054496437),Adults not allowed in some locations,B060-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,310,B-10
Q,Completely Locked,06/21/2020 03:03:32 PM,Q121,Q121-02,,Reopened,,,,K.l. Williams Playground (Tennis),POINT (1043846.452973381 195780.4979244769),,,03/31/2020 07:11:11 PM,06/21/2020 03:03:28 PM,412,Q-12
R,Not Lockable,06/22/2020 02:52:34 PM,R079,R079-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Seguine Ave S/o Hylan Blvd,Lemon Creek Playground,POINT (929208.4945857227 125938.02409264451),Adults Allowed,R079-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,503,R-03
Q,Partially Locked,06/22/2020 01:06:49 PM,Q220G,Q220G,,Reopened,false,Not Applicable,"Manton St. bet. 83 Ave., 134 St. and Main St.",Hoover - Manton Playgrounds,POINT (1034105.826785386 198163.0302328914),Unknown,Q220G-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,408,Q-08
B,Completely Locked,06/22/2020 01:36:07 PM,B018,B018-02,,Reopened,,,,Canarsie Playground,POINT (1012142.509163558 167634.1001491398),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
R,Completely Locked,06/22/2020 04:54:45 PM,R035,R035,,Reopened,false,Not Applicable,"Tompkins Ave., bet. Chestnut St. and Shaughnessy La.",De Matti Park,POINT (963863.7254719734 163319.6885023862),Unknown,R035-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 04:54:43 PM,501,R-01
B,Completely Locked,06/22/2020 03:35:31 PM,B232,B232,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Dean St. to Bergen St. between 6 Ave. and Carlton Ave.,Dean Playground,POINT (991567.1598943919 187423.8023675531),Adults Allowed,B232-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,308,B-08
Q,Partially Locked,06/19/2020 01:59:41 PM,Q021,Q021-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,210 St & 73 Ave,210 St Playground,POINT (1049284.978513643 208708.7171467245),Unknown,Q021-CPA-0003,03/31/2020 07:11:11 PM,06/19/2020 01:59:39 PM,408,Q-08
Q,Not Lockable,06/21/2020 03:03:32 PM,Q005,Q005-11,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,150 St & 130 Ave,Baisley Park South,POINT (1043022.930998385 183159.3273007274),Unknown,Q005-CPA-0004,03/31/2020 07:11:11 PM,06/21/2020 03:03:28 PM,412,Q-12
X,Completely Locked,06/22/2020 11:09:09 AM,X183,X183,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Brinsmade Ave. bet. Cross Bronx Ser. Rd. and Swinton Ave.,Bruckner Playground,POINT (1031737.082507133 240617.42170189324),Unknown,X183-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,210,X-10
X,Not Lockable,06/22/2020 10:09:25 AM,X010,X010-06,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Crotona E-Suburban, Charlotte",Boxcar Plgd (6),POINT (1013873.033917725 244203.2370368093),Adults Allowed,X010-CPA-0005,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
Q,Partially Locked,06/21/2020 03:03:32 PM,Q426,Q426,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Baisley Blvd. 168 St. and Bedell St.,North Rochdale Playground,POINT (1046658.5119818 187156.6657627225),Adults Allowed,Q426-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 03:03:28 PM,412,Q-12
Q,Not Lockable,06/23/2020 11:00:50 AM,Q448,Q448-99,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Near The Recreation Building, Off Baisley Blvd",Roy Wilkins Park Playground,POINT (1047926.0422551332 189234.4696779698),Unknown,Q448-CPA-0002,03/31/2020 07:11:11 PM,06/23/2020 11:00:00 AM,412,Q-12
R,Completely Locked,06/23/2020 10:35:26 AM,R110,R110,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Hylan Blvd. bet. Joline Ave. and Sprague Ave.,Tottenville Pool,POINT (918654.981243968 123594.2672972232),Adults not allowed in some locations,R110-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,503,R-03
Q,Partially Locked,06/19/2020 02:02:20 PM,Q129,Q129,,Reopened,false,Not Applicable,"Atlantic Ave., 95 Ave. bet. 127 St. and 125 St.","Phil ""Scooter"" Rizzuto Park",POINT (1033626.160749972 192263.2539747208),Unknown,Q129-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 02:01:52 PM,409,Q-09
X,Completely Locked,06/22/2020 10:20:47 AM,X334,X334,,Reopened,false,Not Applicable,"Mohegan Ave., Crotona Pkwy., E. 179 St.",Mohegan Triangle,POINT (1016131.7479042258 246879.32584472),Adults not allowed in some locations,X334-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,206,X-06
B,Completely Locked,06/22/2020 03:10:40 PM,B154,B154,,Reopened,false,Not Applicable,S. 3 St. bet. Berry St. and Bedford Ave.,Berry Playground,POINT (994382.7218485476 198902.1967335642),Adults Allowed,B154-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
R,Completely Locked,06/22/2020 01:51:03 PM,R068,R068,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Grandview Ave., at Continental Pl.",The Big Park,POINT (938452.0951929688 169092.7461819798),Unknown,R068-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,501,R-01
X,Completely Locked,06/22/2020 10:56:11 AM,X159,X159,,UnderConstruction,false,Not Applicable,E. 174 St. bet. Bronx River Ave. and E. 173 St.,Playground 174,POINT (1018005.244485304 243289.0639963895),Adults Allowed,X159-CPA-0001,03/31/2020 07:11:11 PM,,209,X-09
X,Completely Locked,06/22/2020 09:38:14 AM,X200,X200,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"3 Ave. bet. E, 145 St. and E. 144 St.",Clark Playground,POINT (1005999.5539298061 235731.20411214232),Adults Allowed,X200-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,201,X-01
Q,Completely Locked,06/22/2020 03:16:30 PM,Q340,Q340,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Skillman Ave. bet. 41 St. and 43 St.,Torsney Playground,POINT (1005720.9147233071 211568.7527652234),Adults not allowed in some locations,Q340-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,402,Q-02
M,Not Lockable,06/22/2020 11:21:27 AM,M010,M010-151,,Reopened,,,,Great Lawn Plgd,POINT (994096.6820663064 224356.1399200559),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,164,M-13
Q,Completely Locked,06/22/2020 10:14:03 AM,Q017,Q017,,Reopened,false,Not Applicable,46 Ave. bet. 164 St. and 165 St.,The Olde Towne of Flushing Burial Ground,POINT (1039055.0189867171 214607.5075144768),Adults not allowed in some locations,Q017-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 PM,407,Q-07
B,Completely Locked,06/22/2020 04:19:50 PM,B126,B126-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Lorraine, Clinton, Henry Sts",Bush Clinton Park,POINT (983467.141973719 184616.6062103063),Unknown,B126-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,306,B-06
Q,Completely Locked,06/22/2020 01:32:02 PM,Q174A,Q174A,,Reopened,false,Not Applicable,"30 Ave. To 31 Ave. and Boody St., BQE",St. Michael's Playground,POINT (1011836.4412061418 215521.0483383089),Unknown,Q174A-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,401,Q-01
M,Completely Locked,06/22/2020 10:46:26 AM,M056,M056-02,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,W 117 St & Morningside Ave,Morningside Plgd,POINT (995944.5146567225 233305.8723486364),Unknown,M056-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,109,M-09
R,Completely Locked,06/22/2020 02:59:58 PM,R027A,R027A,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Corner Of Bartow Ave. and Page Ave.,Aesop Park,POINT (920269.054787472 124981.50107130411),Adults Allowed,R027A-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,503,R-03
Q,Completely Locked,06/21/2020 03:03:32 PM,Q005,Q005-01,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Sutphin Blvd & 125 Ave,Sutphin Playground,POINT (1042744.5198097972 185183.0840799809),Unknown,Q005-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 03:03:28 PM,412,Q-12
M,Completely Locked,06/22/2020 03:25:13 PM,M071,M071-31,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 124 St & Riverside Dr,Claremont,POINT (994745.428144142 236221.14998264614),Unknown,M071-CPA-0008,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,109,M-14
M,Completely Locked,06/22/2020 04:12:16 PM,M288,M288,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,47 St. bet. 8 Ave. and 9 Ave.,Ramon Aponte Park,POINT (987167.0158075541 216678.12345197803),Adults Allowed,M288-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,104,M-04
B,Completely Locked,06/22/2020 01:15:17 PM,B304,B304,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E. 93 St. to E. 94 St., between Lenox Rd. and Clarkson Ave.",Kennedy King Playground,POINT (1005888.480989218 179151.2611698955),Adults Allowed,B304-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,317,B-17
B,Partially Locked,06/22/2020 12:20:00 PM,B149B,B149B,,Reopened,false,Not Applicable,Linwood St. bet. New Lots Ave. and Hegeman Ave.,Linwood Playground,POINT (1017370.07941705 182084.4213140607),Adults Allowed,B149B-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,305,B-05
X,Completely Locked,06/22/2020 10:24:39 AM,X174,X174,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. 188 St. bet. Webster Ave. and Park Ave.,Webster Playground,POINT (1013826.040245309 252397.59663231674),Adults Allowed,X174-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,206,X-06
B,Completely Locked,06/22/2020 03:01:47 PM,B346,B346,,Reopened,,,Manhattan Ave. and Leonard St.,Ericsson Playground,POINT (998543.8460722269 201786.6391273886),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
B,Completely Locked,06/23/2020 10:01:04 AM,B347,B347,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Sumpter St. to Marion St. between Howard Ave. and Ralph Ave.,Carver Playground,POINT (1006352.701189384 187191.9596553892),Adults Allowed,B347-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,303,B-03
B,Completely Locked,06/22/2020 03:28:45 PM,B282,B282,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"80 St. To 81 St., 11 Ave. To 12 Ave.",Patrick O'Rourke Playground,POINT (980241.1097118853 164903.1476058066),Adults not allowed in some locations,B282-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,310,B-10
Q,Partially Locked,06/23/2020 11:11:01 AM,Q339,Q339,,Reopened,false,Not Applicable,"Francis Lewis Blvd., 121 Ave. bet. 219 St. and 222 St.",Cambria Playground,POINT (1055735.635559797 190232.8295578957),Adults Allowed,Q339-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 11:10:59 AM,413,Q-13
X,Not Lockable,06/22/2020 10:52:00 AM,X002,X002-05A,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Waring Ave, Bronx Pk E",Waring Plgd,POINT (1019787.142496303 252863.1245726496),Adults Allowed,X002-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,227,X-14
Q,Partially Locked,06/21/2020 04:56:36 PM,Q353,Q353,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Grassmere Terr., Briar Pl. bet. Hanson Ct. and Brookhaven Ave.",Grassmere Playground,POINT (1051099.100213468 157791.683810398),Unknown,Q353-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
Q,Partially Locked,06/21/2020 10:11:32 AM,Q001,Q001-01,,Reopened,false,Not Applicable,"Grand Central Pkwy (Upper Area), GCP & Douglaston Pkwy Entrance",Wild Flower Meadow Playground,POINT (1056036.934169799 209807.18148522082),Unknown,Q001-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 10:11:29 AM,411,Q-07A
X,Completely Locked,06/22/2020 11:03:50 AM,X160,X160,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,St. Raymond's Ave. bet. Odell St. and Purdy St.,Caserta Playground,POINT (1024633.184641466 244420.8415884823),Adults Allowed,X160-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,209,X-09
M,Completely Locked,06/22/2020 11:20:25 AM,M010,M010-188,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,93 St & Central Park West,Wild West Plgd,POINT (993819.4490249752 227055.8047963083),Unknown,M010-CPA-0014,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,164,M-13
B,Completely Locked,06/22/2020 03:29:41 PM,B297,B297,,Reopened,false,Not Applicable,"Albemarle Rd., Dahill Rd., Mcdonald Ave.",Albemarle Playground,POINT (989701.5786518009 174597.1741494834),Adults Allowed,B297-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,312,B-12
B,Completely Locked,06/24/2020 11:34:52 AM,B102,B102,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Classon Ave. bet. Fulton St. and Lefferts Pl.,Crispus Attucks Playground,POINT (995630.0687633009 187555.158732146),Adults Allowed,B102-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,302,B-02
B,Completely Locked,06/22/2020 04:20:06 PM,B210B,B210B,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,3 Ave. bet. 35 St. and 34 St.,D'Emic Playground,POINT (982856.0598625541 178326.28217680752),Adults Allowed,B210B-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,307,B-07
B,Completely Locked,06/22/2020 12:23:58 PM,B366,B366,,Reopened,false,Not Applicable,New Jersey Ave. between Blake Ave. and Dumont Ave.,Duke Park,POINT (1013879.60345839 182239.1900333911),Unknown,B366-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,305,B-05
B,Completely Locked,06/23/2020 10:01:04 AM,B262,B262,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Tompkins Ave. between Halsey St. and Macon St.,Potomac Playground,POINT (999767.2780085504 187736.66493080562),Adults Allowed,B262-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,303,B-03
B,Completely Locked,06/22/2020 02:30:12 PM,B017,B017,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Knickerbocker Ave. bet. Woodbine St. and Putnam Ave.,Bushwick Playground,POINT (1008758.805629134 192902.1336024702),Adults not allowed in some locations,B017-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,304,B-04
B,Completely Locked,06/23/2020 10:01:04 AM,B323,B323,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Monroe St. to Madison St. between Marcy Ave. and Tompkins Ave.,Hattie Carthan Playground,POINT (999087.9207714646 189070.5310294777),Adults Allowed,B323-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,303,B-03
B,Completely Locked,06/22/2020 03:45:07 PM,B109,B109,,Reopened,false,Not Applicable,"Ave. Y, Ave. X bet. E. 24 St. and Bedford Ave.",Bill Brown Playground,POINT (999379.5346895606 154744.4753378928),Adults Allowed,B109-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,315,B-15
Q,Completely Locked,06/22/2020 06:35:02 PM,Q434,Q434,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"51 Ave., 51 Rd., 72 Pl.",Long Island Mews,POINT (1014725.139825061 207481.4344963133),Unknown,Q434-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,402,Q-02
X,Completely Locked,06/22/2020 11:20:28 AM,X039,X039-01,,Reopened,false,Not Applicable,"Bruckner Exwy, Buhre Ave",Playground For All Children,POINT (1032529.23610656 248547.4133878052),Adults Allowed,X039-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,228,X-15
B,Completely Locked,06/22/2020 12:29:46 PM,B541,B541,,Reopened,,,Berriman St. between Vandalia Ave. and Schroeders Ave.,Berriman Playground,POINT (1020464.93740055 178608.0253797323),,,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,305,B-05
Q,Completely Locked,06/21/2020 04:56:36 PM,Q371,Q371-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,B 54 St & Almeda Ave,Rockaway Community Playground,POINT (1044057.9876552972 157366.2814459801),Unknown,Q371-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
X,Completely Locked,06/22/2020 09:58:04 AM,X260,X260,,Reopened,false,Not Applicable,Manida St bet. Spofford Av and Lafayette Av,Julio Carballo Fields,POINT (1015029.951879472 236269.98387447),Adults Allowed,X260-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,202,X-02
X,Completely Locked,06/22/2020 10:04:53 AM,X242,X242,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Home St bet. Boston Rd and Jackson Av,Youth Village,POINT (1011114.7362847182 241199.9349725544),Adults not allowed in some locations,X242-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
M,Completely Locked,06/22/2020 11:50:14 AM,M199,M199,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,W. 204 St. bet. 10 Ave. and Nagle Ave.,Monsignor Kett Playground,POINT (1006192.8530838941 253568.21207322177),Adults Allowed,M199-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,112,M-12A
X,Not Lockable,06/22/2020 10:39:13 AM,X080,X080-02,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Independence Ave & W 227 St,Henry Hudson Pk (North),POINT (1006925.9136256431 260695.0108117312),Adults not allowed in some locations,X080-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,208,X-08
M,Completely Locked,06/22/2020 04:11:41 PM,M249,M249,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W. 26 St., 8 Ave. To 9 Ave.",Penn South Playground,POINT (984690.2464828938 211625.7674149722),Adults not allowed in some locations,M249-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,104,M-04
Q,Completely Locked,06/23/2020 11:10:39 AM,Q327,Q327,,Reopened,false,Not Applicable,Little Neck Pkwy. bet. 72 Ave. and 73 Ave.,Castlewood Playground,POINT (1061654.659482881 212643.4956944734),Adults Allowed,Q327-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 11:10:37 AM,413,Q-13
Q,Completely Locked,06/21/2020 05:04:09 PM,Q443,Q443,,UnderConstruction,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Beach 65 St. to Beach 66 St., Beach Channel Dr.",Almeda Playground,POINT (1041261.848234475 155462.4240332246),Adults Allowed,Q443-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
X,Not Lockable,06/22/2020 11:17:24 AM,X193,X193,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Crawford Ave. at Baychester Ave.,Stars & Stripes Playground,POINT (1028781.9929448809 261872.7394273877),Adults Allowed,X193-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,212,X-12
Q,Completely Locked,06/22/2020 06:28:03 PM,Q226,Q226-02,,Reopened,false,Not Applicable,"1 St, E River, Hallets Cove",Hallets Point Playground (area B),POINT (1001540.393228725 221342.9412220567),Unknown,Q226-CPA-0002,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,401,Q-01
X,Completely Locked,06/22/2020 10:05:06 AM,X026,X026,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Fulton Av to Franklin Av bet. E 167 St and E 166 St,Hines Park,POINT (1010386.907031715 241201.88378755748),Adults not allowed in some locations,X026-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
Q,Completely Locked,06/25/2020 11:28:47 AM,Q302,Q302,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,St Felix Ave. bet. Seneca Ave. and 60 Pl.,Evergreen Park,POINT (1012828.146899894 193321.07502180344),Unknown,Q302-CPA-0001,03/31/2020 07:11:11 PM,06/25/2020 11:28:46 AM,405,Q-05
M,Completely Locked,06/22/2020 11:48:07 AM,M037,M037-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 180 St & Amsterdam Ave,Quisqueya Plgd,POINT (1003292.896613464 247917.0317745656),Adults Allowed,M037-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,112,M-12A
Q,Completely Locked,06/19/2020 01:26:18 PM,Q015,Q015-10,,Reopened,false,Not Applicable,79 St & Park Lane South,Mary Whalen Playground,POINT (1021651.7670478818 192765.17718347913),Unknown,Q015-CPA-0007,03/31/2020 07:11:11 PM,06/19/2020 01:00:00 PM,482,Q-16
Q,Not Lockable,06/21/2020 03:03:32 PM,Q220E,Q220E,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Van Wyck Exwy. Sr. Rd. E., 140 St. bet. 120 Ave. and Rockaway Blvd.",Playground One Forty,POINT (1039400.110488132 185232.4078002274),Adults not allowed in some locations,Q220E-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 03:03:28 PM,412,Q-12
R,Not Lockable,06/22/2020 01:52:30 PM,R022,R022-04,,Reopened,false,Not Applicable,University Pl & Revere St,Silver Lake Park Playground,POINT (956819.944940135 168152.1365146488),Adults not allowed in some locations,R022-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,501,R-01
B,Completely Locked,06/22/2020 03:23:12 PM,B310,B310,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Flushing Ave. bet.. Beaver St. and Garden St.,Bushwick Playground,POINT (1001124.889794633 194905.7673904747),Adults Allowed,B310-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
X,Completely Locked,06/22/2020 10:23:58 AM,X280,X280,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,E 183 St bet. Washington Av and Park Av,Washington Park,POINT (1013727.0276480619 251051.8342319727),Adults Allowed,X280-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,206,X-06
X,Partially Locked,06/22/2020 11:10:04 AM,X122,X122,,Reopened,false,Not Applicable,Hutchinson River Pkwy. E. bet. Wilkinson Ave. and E. 197 St.,Colucci Playground,POINT (1029876.047515303 249812.3550836444),Adults Allowed,X122-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,210,X-10
X,Partially Locked,06/22/2020 09:36:52 AM,X045,X045-03,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,St Ann's Ave & E 147 St,St Mary's Playground West,POINT (1008366.866780475 235416.1784954816),Adults Allowed,X045-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,201,X-01
B,Completely Locked,06/22/2020 01:55:05 PM,B272,B272,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W. 11 St. at Ave. W,Marlboro Playground,POINT (989579.3889355512 154762.057323724),Adults Allowed,B272-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,313,B-13
